epoch,val_loss
1,0.20168621838092804
2,0.16390681266784668
3,0.13279229402542114
4,0.10476767271757126
5,0.07942983508110046
6,0.0572337843477726
7,0.02547062374651432
8,0.013091521337628365
9,0.009629434905946255
10,0.007713051047176123
11,0.006472117267549038
12,0.005727947223931551
13,0.005316941998898983
14,0.005076637491583824
15,0.004931814968585968
16,0.004835834726691246
17,0.004761672578752041
18,0.0047018397599458694
19,0.004651575814932585
20,0.004608602728694677
21,0.004571290221065283
22,0.004540293477475643
23,0.004513475578278303
24,0.00449293153360486
25,0.0044756727293133736
26,0.004457786679267883
27,0.004444541409611702
28,0.004436631686985493
29,0.004427075386047363
30,0.004421996884047985
31,0.004416412673890591
32,0.004412489477545023
33,0.004407505504786968
34,0.004404619801789522
35,0.004404249135404825
36,0.00439933268353343
37,0.004398886114358902
38,0.004396410193294287
39,0.004395679570734501
40,0.004393111448734999
