epoch,train_rmse,val_rmse,val_mae,lr
1,0.154422,0.069186,0.055415,0.00099975
2,0.07356,0.069219,0.055372,0.00099901
3,0.073171,0.069998,0.056073,0.00099778
4,0.072922,0.069406,0.055586,0.00099606
5,0.072236,0.068746,0.055024,0.00099385
6,0.072051,0.068749,0.055046,0.00099115
7,0.073195,0.069144,0.055339,0.00098797
8,0.072119,0.070063,0.056127,0.00098431
9,0.072355,0.070202,0.056239,0.00098017
10,0.071894,0.069109,0.055293,0.00097555
11,0.072506,0.072704,0.058163,0.00097047
12,0.072759,0.068946,0.055185,0.00096492
13,0.071539,0.070798,0.056714,0.00095892
14,0.071932,0.069974,0.056008,0.00095246
15,0.071855,0.068848,0.055128,0.00094556
16,0.071744,0.069202,0.055404,0.00093822
17,0.07162,0.068933,0.055181,0.00093044
18,0.071314,0.068802,0.055068,0.00092224
19,0.071183,0.069317,0.055499,0.00091363
20,0.071589,0.068647,0.054967,0.0009046
21,0.071829,0.068732,0.05504,0.00089518
22,0.071254,0.069186,0.055402,0.00088537
23,0.071422,0.068742,0.055048,0.00087518
24,0.071137,0.068692,0.055019,0.00086462
25,0.071805,0.069046,0.055259,0.0008537
26,0.070995,0.068709,0.055025,0.00084243
27,0.071122,0.070184,0.056191,0.00083083
28,0.071347,0.069343,0.055518,0.00081889
29,0.07099,0.068732,0.055063,0.00080665
30,0.071137,0.068795,0.055133,0.0007941
31,0.070942,0.069965,0.055989,0.00078126
32,0.071195,0.068624,0.054971,0.00076815
33,0.070916,0.068881,0.055143,0.00075477
34,0.070877,0.069682,0.055782,0.00074114
35,0.071216,0.069148,0.055367,0.00072727
36,0.071094,0.070033,0.056071,0.00071318
37,0.071231,0.069604,0.055724,0.00069888
38,0.071091,0.069053,0.055295,0.00068438
39,0.070956,0.069981,0.056034,0.0006697
40,0.070763,0.068797,0.055109,0.00065485
41,0.070795,0.068697,0.055021,0.00063986
42,0.070698,0.068723,0.055051,0.00062472
43,0.071272,0.069516,0.055657,0.00060946
44,0.070557,0.069032,0.055272,0.0005941
45,0.070575,0.068701,0.055013,0.00057864
46,0.07066,0.068624,0.054981,0.0005631
47,0.07072,0.069416,0.055573,0.00054751
